date,count,total_count,ratio
"2011-02-01","3","29502","0.0001016880211511084"
"2011-02-02","14","30300","0.00046204620462046204"
"2011-02-03","15","22536","0.0006656017039403621"
"2011-02-04","16","26709","0.0005990490096971058"
"2011-02-05","4","16592","0.00024108003857280618"
"2011-02-06","10","17993","0.0005557716889901628"
"2011-02-07","16","26124","0.0006124636349716736"
"2011-02-08","14","27936","0.0005011454753722795"
"2011-02-09","12","29128","0.00041197473221642406"
"2011-02-10","30","28589","0.0010493546468921613"
"2011-02-11","13","28565","0.0004551023980395589"
"2011-02-12","4","17789","0.00022485805835066613"
"2011-02-13","9","17693","0.0005086757474707512"
"2011-02-14","10","28630","0.00034928396786587494"
"2011-02-15","14","29222","0.0004790910957497776"
"2011-02-16","9","29019","0.00031014163134498085"
"2011-02-17","17","28582","0.0005947799314253726"
"2011-02-18","8","27721","0.0002885898777100393"
"2011-02-19","5","17789","0.0002810725729383327"
"2011-02-20","5","16698","0.000299437058330339"
"2011-02-21","8","25314","0.0003160306549735324"
"2011-02-22","2","26347","7.590997077466125e-05"
"2011-02-23","6","25514","0.00023516500744689191"
"2011-02-24","14","28687","0.00048802593509255065"
"2011-02-25","14","27370","0.0005115089514066496"
"2011-02-26","4","18286","0.00021874658208465494"
"2011-02-27","7","17420","0.0004018369690011481"
"2011-02-28","5","28123","0.00017779042065213527"
"2011-03-01","16","29392","0.0005443658138268917"
"2011-03-02","12","29264","0.0004100601421541826"
"2011-03-03","9","29302","0.00030714626987918915"
"2011-03-04","9","28008","0.00032133676092544985"
"2011-03-05","9","19785","0.0004548900682335102"
"2011-03-06","8","16853","0.00047469293300895983"
"2011-03-07","12","23627","0.0005078935116603886"
"2011-03-08","7","26100","0.0002681992337164751"
"2011-03-09","16","28238","0.0005666123663148948"
"2011-03-10","10","29133","0.00034325335530154807"
"2011-03-11","11","28229","0.0003896701973148181"
"2011-03-12","2","18976","0.00010539629005059021"
"2011-03-13","9","17710","0.0005081874647092038"
"2011-03-14","6","28037","0.00021400292470663765"
"2011-03-15","9","29758","0.0003024396800860273"
"2011-03-16","12","28806","0.00041657987919183504"
"2011-03-17","12","31035","0.00038666022232962784"
"2011-03-18","26","28067","0.0009263547938860583"
"2011-03-19","7","18590","0.00037654653039268426"
"2011-03-20","4","17806","0.00022464337863641469"
"2011-03-21","5","28292","0.00017672840378905698"
"2011-03-22","11","28443","0.0003867383890588194"
"2011-03-23","17","29079","0.0005846143264899068"
"2011-03-24","6","28906","0.00020756936276205632"
"2011-03-25","23","28149","0.0008170805357206295"
"2011-03-26","8","17513","0.0004568035173870839"
"2011-03-27","9","16660","0.0005402160864345738"
"2011-03-28","16","28263","0.0005661111700810247"
"2011-03-29","12","28136","0.0004264998578333807"
"2011-03-30","13","27113","0.00047947479069081254"
"2011-03-31","15","28738","0.0005219569907439627"
"2011-04-01","22","27973","0.0007864726700747149"
"2011-04-02","10","18111","0.0005521506266909613"
"2011-04-03","5","16622","0.00030080616051016726"
"2011-04-04","6","26006","0.00023071598861801123"
"2011-04-05","12","27957","0.00042923060414207535"
"2011-04-06","11","27277","0.00040327015434248633"
"2011-04-07","8","22026","0.00036320711885952963"
"2011-04-08","10","28638","0.0003491863956980236"
"2011-04-09","10","16972","0.0005892057506481263"
"2011-04-10","5","15993","0.0003126367785906334"
"2011-04-11","23","28831","0.0007977524192709236"
"2011-04-12","9","28410","0.00031678986272439284"
"2011-04-13","7","28340","0.00024700070571630206"
"2011-04-14","10","27364","0.0003654436485893875"
"2011-04-15","9","29489","0.0003051985486113466"
"2011-04-16","1","17573","5.690547999772378e-05"
"2011-04-17","2","16294","0.00012274456855284154"
"2011-04-18","13","27493","0.0004728476339431855"
"2011-04-19","18","27797","0.0006475518940892902"
"2011-04-20","39","28586","0.0013643042048555236"
"2011-04-21","16","28741","0.0005566960091854842"
"2011-04-22","2","25990","7.695267410542516e-05"
