date,growth
2013-10-17,1126
2013-10-18,240
2013-10-19,108
2013-10-20,100
2013-10-21,88
2013-10-22,79
2013-10-23,83
2013-10-24,147
2013-10-25,65
2013-10-26,116
2013-10-27,231
2013-10-28,67
2013-10-29,136
2013-10-30,51
2013-10-31,29
2013-11-01,22
2013-11-02,29
2013-11-03,45
2013-11-04,47
2013-11-05,42
2013-11-06,52
2013-11-07,41
2013-11-08,35
2013-11-09,29
2013-11-10,29
2013-11-11,24
2013-11-12,45
2013-11-13,44
2013-11-14,25
2013-11-15,23
2013-11-16,35
2013-11-17,39
2013-11-18,33
2013-11-19,26
2013-11-20,17
2013-11-21,8
2013-11-22,21
2013-11-23,19
2013-11-24,16
2013-11-25,23
2013-11-26,18
2013-11-27,18
2013-11-28,13
2013-11-29,41
2013-11-30,46
2013-12-01,82
2013-12-02,60
2013-12-03,87
2013-12-04,36
2013-12-05,34
2013-12-06,30
2013-12-07,28
2013-12-08,16
2013-12-09,31
2013-12-10,30
2013-12-11,41
2013-12-12,32
2013-12-13,41
2013-12-14,26
2013-12-15,30
2013-12-16,26
2013-12-17,46
2013-12-18,70
2013-12-19,21
2013-12-20,16
2013-12-21,22
2013-12-22,27
2013-12-23,39
2013-12-24,37
2013-12-25,53
2013-12-26,55
2013-12-27,34
2013-12-28,34
2013-12-29,29
2013-12-30,31
2013-12-31,112
2014-01-01,30
2014-01-02,31
2014-01-03,22
2014-01-04,26
2014-01-05,35
2014-01-06,49
2014-01-07,43
2014-01-08,48
2014-01-09,59
2014-01-10,37
2014-01-11,26
2014-01-12,19
2014-01-13,265
2014-01-14,44
2014-01-15,27
2014-01-16,32
2014-01-17,33
2014-01-18,35
2014-01-19,28
2014-01-20,47
2014-01-21,36
2014-01-22,137
2014-01-23,85
2014-01-24,44
2014-01-25,19
2014-01-26,56
2014-01-27,34
2014-01-28,40
2014-01-29,78
2014-01-30,41
2014-01-31,16
2014-02-01,31
2014-02-02,22
2014-02-03,33
2014-02-04,48
2014-02-05,92
2014-02-06,60
2014-02-07,40
2014-02-08,40
2014-02-09,46
2014-02-10,58
2014-02-11,31
2014-02-12,42
2014-02-13,440
2014-02-14,237
2014-02-15,176
2014-02-16,116
2014-02-17,63
2014-02-18,153
2014-02-19,83
2014-02-20,61
2014-02-21,58
2014-02-22,60
2014-02-23,69
2014-02-24,220
2014-02-25,90
2014-02-26,509
2014-02-27,135
2014-02-28,99
2014-03-01,89
2014-03-02,101
2014-03-03,174
2014-03-04,127
2014-03-05,161
2014-03-06,143
2014-03-07,99
2014-03-08,70
2014-03-08,113
2014-03-09,49
2014-03-10,49
2014-03-11,75
2014-03-12,70
2014-03-13,69
2014-03-14,38
2014-03-15,67
2014-03-16,48
2014-03-17,46
2014-03-18,56
2014-03-19,74
2014-03-20,52
2014-03-21,63
2014-03-22,100
2014-03-23,40
2014-03-24,55
2014-03-25,77
2014-03-26,947
2014-03-27,117
2014-03-28,66
2014-03-29,46
2014-03-30,186
2014-03-31,204
2014-04-01,66
2014-04-02,39
2014-04-03,116
2014-04-04,115
2014-04-05,65
2014-04-06,70
2014-04-07,94
2014-04-08,91
2014-04-09,77
2014-04-10,59
2014-04-11,82
2014-04-12,63
2014-04-13,81
2014-04-14,86
2014-04-15,199
2014-04-16,109
2014-04-17,105
2014-04-18,65
2014-04-19,81
2014-04-20,77
2014-04-21,77
2014-04-22,81
2014-04-23,108
2014-04-24,62
2014-04-25,63
2014-04-26,86
2014-04-27,91
2014-04-28,106
2014-04-29,98
2014-04-30,112
2014-05-01,69
2014-05-02,60
2014-05-03,39
2014-05-04,57
2014-05-05,44
2014-05-06,49
2014-05-07,69
2014-05-08,82
2014-05-09,93
2014-05-10,72
2014-05-11,102
2014-05-12,64
2014-05-13,70
2014-05-14,85
2014-05-15,73
2014-05-16,43
2014-05-17,175
2014-05-18,36
2014-05-19,38
2014-05-20,49
2014-05-21,30
2014-05-22,61
2014-05-23,50
2014-05-24,51
2014-05-25,83
2014-05-26,117
2014-05-27,56
2014-05-28,146
2014-05-29,61
2014-05-30,67
2014-05-31,68
2014-06-01,68
2014-06-02,96
2014-06-03,97
2014-06-04,63
2014-06-05,103
2014-06-06,59
2014-06-07,53
2014-06-08,67
2014-06-09,73
2014-06-10,69
2014-06-11,69
2014-06-12,49
2014-06-13,50
2014-06-14,60
2014-06-15,60
2014-06-16,37
2014-06-17,79
2014-06-18,66
2014-06-19,48
2014-06-20,52
2014-06-21,41
2014-06-22,30
2014-06-23,51
2014-06-24,68
2014-06-25,69
2014-06-26,67
2014-06-27,49
2014-06-28,41
2014-06-29,39
2014-06-30,76
2014-07-01,30
2014-07-02,61
2014-07-03,88
2014-07-04,37
2014-07-05,57
2014-07-06,74
2014-07-07,41
2014-07-08,45
2014-07-09,103
2014-07-10,62
2014-07-11,67
2014-07-12,67
2014-07-13,62
2014-07-14,67
2014-07-15,58
2014-07-16,55
2014-07-17,449
2014-07-18,90
2014-07-19,64
2014-07-20,82
2014-07-21,116
2014-07-22,92
2014-07-23,76
2014-07-24,88
2014-07-25,59
2014-07-26,23
2014-07-27,51
2014-07-28,105
2014-07-29,56
2014-07-30,48
2014-07-31,52
2014-08-01,57
2014-08-02,35
2014-08-03,64
2014-08-04,43
2014-08-05,65
2014-08-06,168
2014-08-07,51
2014-08-08,52
2014-08-09,40
2014-08-10,40
2014-08-11,65
2014-08-12,82
2014-08-13,70
2014-08-14,48
2014-08-15,56
2014-08-16,63
2014-08-17,47
2014-08-18,68
2014-08-19,77
2014-08-20,90
2014-08-21,99
2014-08-22,65
2014-08-23,70
2014-08-24,314
2014-08-25,98
2014-08-26,67
2014-08-27,45
2014-08-28,43
2014-08-29,90
2014-08-30,26
2014-08-31,35
