date,growth
2014-02-11,22
2014-02-12,14
2014-02-13,5
2014-02-14,0
2014-02-15,1
2014-02-16,1
2014-02-17,0
2014-02-18,2
2014-02-19,0
2014-02-20,1
2014-02-21,0
2014-02-22,1
2014-02-23,-1
2014-02-24,1
2014-02-25,0
2014-02-26,18
2014-02-27,14
2014-02-28,5
2014-03-01,3
2014-03-02,6
2014-03-03,15
2014-03-04,6
2014-03-05,14
2014-03-06,14
2014-03-07,52
2014-03-08,12
2014-03-08,14
2014-03-09,9
2014-03-10,9
2014-03-11,19
2014-03-12,24
2014-03-13,45
2014-03-14,48
2014-03-15,10
2014-03-16,25
2014-03-17,15
2014-03-18,19
2014-03-19,17
2014-03-20,16
2014-03-21,51
2014-03-22,37
2014-03-23,29
2014-03-24,30
2014-03-25,22
2014-03-26,78
2014-03-27,37
2014-03-28,20
2014-03-29,12
2014-03-30,34
2014-03-31,68
2014-04-01,14
2014-04-02,22
2014-04-03,12
2014-04-04,18
2014-04-05,13
2014-04-06,12
2014-04-07,17
2014-04-08,13
2014-04-09,6
2014-04-10,10
2014-04-11,6
2014-04-12,6
2014-04-13,21
2014-04-14,14
2014-04-15,48
2014-04-16,49
2014-04-17,26
2014-04-18,19
2014-04-19,14
2014-04-20,18
2014-04-21,26
2014-04-22,20
2014-04-23,16
2014-04-24,5
2014-04-25,6
2014-04-26,15
2014-04-27,20
2014-04-28,28
2014-04-29,17
2014-04-30,22
2014-05-01,16
2014-05-02,15
2014-05-03,14
2014-05-04,7
2014-05-05,17
2014-05-06,14
2014-05-07,12
2014-05-08,14
2014-05-09,16
2014-05-10,9
2014-05-11,30
2014-05-12,17
2014-05-13,17
2014-05-14,19
2014-05-15,8
2014-05-16,9
2014-05-17,13
2014-05-18,2
2014-05-19,14
2014-05-20,14
2014-05-21,13
2014-05-22,7
2014-05-23,7
2014-05-24,10
2014-05-25,11
2014-05-26,24
2014-05-27,17
2014-05-28,18
2014-05-29,7
2014-05-30,9
2014-05-31,10
2014-06-01,14
2014-06-02,14
2014-06-03,16
2014-06-04,32
2014-06-05,11
2014-06-06,11
2014-06-07,13
2014-06-08,10
2014-06-09,12
2014-06-10,12
2014-06-11,13
2014-06-12,5
2014-06-13,28
2014-06-14,15
2014-06-15,16
2014-06-16,17
2014-06-17,15
2014-06-18,19
2014-06-19,9
2014-06-20,55
2014-06-21,17
2014-06-22,12
2014-06-23,8
2014-06-24,12
2014-06-25,13
2014-06-26,30
2014-06-27,21
2014-06-28,13
2014-06-29,7
2014-06-30,24
2014-07-01,8
2014-07-02,15
2014-07-03,13
2014-07-04,12
2014-07-05,11
2014-07-06,39
2014-07-07,25
2014-07-08,16
2014-07-09,19
2014-07-10,10
2014-07-11,39
2014-07-12,26
2014-07-13,16
2014-07-14,39
2014-07-15,22
2014-07-16,21
2014-07-17,59
2014-07-18,15
2014-07-19,12
2014-07-20,20
2014-07-21,28
2014-07-22,28
2014-07-23,17
2014-07-24,17
2014-07-25,11
2014-07-26,10
2014-07-27,15
2014-07-28,18
2014-07-29,17
2014-07-30,8
2014-07-31,7
2014-08-01,6
2014-08-02,3
2014-08-03,12
2014-08-04,13
2014-08-05,15
2014-08-06,19
2014-08-07,28
2014-08-08,10
2014-08-09,8
2014-08-10,9
2014-08-11,19
2014-08-12,43
2014-08-13,32
2014-08-14,31
2014-08-15,19
2014-08-16,23
2014-08-17,9
2014-08-18,29
2014-08-19,24
2014-08-20,18
2014-08-21,15
2014-08-22,22
2014-08-23,24
2014-08-24,108
2014-08-25,35
2014-08-26,35
2014-08-27,14
2014-08-28,26
2014-08-29,41
2014-08-30,11
2014-08-31,32
2014-09-01,15
2014-09-02,27
2014-09-03,47
2014-09-04,17
2014-09-05,23
2014-09-06,5
2014-09-07,8
2014-09-08,12
2014-09-09,9
2014-09-10,22
2014-09-11,16
2014-09-12,9
2014-09-13,17
2014-09-14,37
2014-09-15,23
2014-09-16,20
2014-09-17,63
2014-09-18,21
2014-09-19,29
2014-09-20,11
2014-09-21,8
2014-09-22,24
2014-09-23,26
2014-09-24,29
2014-09-25,25
2014-09-26,18
2014-09-27,31
2014-09-28,49
2014-09-29,49
2014-09-30,40
2014-10-01,16
2014-10-02,16
2014-10-03,15
2014-10-04,31
2014-10-05,22
2014-10-06,13
2014-10-07,29
2014-10-08,19
2014-10-09,24
2014-10-10,15
2014-10-11,18
2014-10-12,104
2014-10-13,127
2014-10-14,54
2014-10-15,21
2014-10-16,12
2014-10-17,19
2014-10-18,16
2014-10-19,19
2014-10-20,19
2014-10-21,31
2014-10-22,23
2014-10-23,21
2014-10-24,16
2014-10-25,19
2014-10-26,20
2014-10-27,105
2014-10-28,29
2014-10-29,42
2014-10-30,51
2014-10-31,26
2014-11-01,26
2014-11-02,30
2014-11-03,15
2014-11-04,32
2014-11-05,47
2014-11-06,49
2014-11-07,91
2014-11-08,42
2014-11-09,42
2014-11-10,41
2014-11-11,41
2014-11-12,57
2014-11-13,26
2014-11-14,19
2014-11-15,16
2014-11-16,27
2014-11-17,21
2014-11-18,24
2014-11-19,21
2014-11-20,14
2014-11-21,19
2014-11-22,18
2014-11-23,27
2014-11-24,28
2014-11-25,54
2014-11-26,30
2014-11-27,21
2014-11-28,15
2014-11-29,12
2014-11-30,49
2014-12-01,35
2014-12-02,12
2014-12-03,22
2014-12-04,15
2014-12-05,38
2014-12-06,20
2014-12-07,11
2014-12-08,139
2014-12-09,52
2014-12-10,30
2014-12-11,28
2014-12-12,4
2014-12-13,57
2014-12-14,188
2014-12-15,43
2014-12-16,22
2014-12-17,57
2014-12-18,29
2014-12-19,23
2014-12-20,28
2014-12-21,19
2014-12-22,28
2014-12-23,30
2014-12-24,23
2014-12-25,15
2014-12-26,10
2014-12-27,55
2014-12-28,34
2014-12-29,19
2014-12-30,17
2014-12-31,18
2015-01-01,23
2015-01-02,46
2015-01-03,23
2015-01-04,51
2015-01-05,43
2015-01-06,44
2015-01-07,36
2015-01-08,24
2015-01-09,38
2015-01-10,17
2015-01-11,16
2015-01-12,35
2015-01-13,43
2015-01-14,47
2015-01-15,34
2015-01-16,55
2015-01-17,59
2015-01-18,41
2015-01-19,28
2015-01-20,20
2015-01-21,66
2015-01-22,43
2015-01-23,39
2015-01-24,42
2015-01-25,45
2015-01-26,10
2015-01-27,60
2015-01-28,75
2015-01-29,26
2015-01-30,33
2015-01-31,58
2015-02-01,24
2015-02-02,25
2015-02-03,57
2015-02-04,36
2015-02-05,38
2015-02-06,27
2015-02-07,20
2015-02-08,33
2015-02-09,32
2015-02-10,25
2015-02-11,52
2015-02-12,138
2015-02-13,31
2015-02-14,41
2015-02-15,48
2015-02-16,5
2015-02-17,29
2015-02-18,25
2015-02-19,6
2015-02-20,7
2015-02-21,29
2015-02-22,23
2015-02-23,19
2015-02-24,49
2015-02-25,67
2015-02-26,28
