Country Name;2011;2012;2013;2014;2015;2016;2017;
Aruba;24985.9932813737;24713.6980451285;26189.4355088129;26647.938100985;27980.8806952751;28281.35048163;29007.6930034887;
Afghanistan;591.162759035926;641.871479157539;637.165523187024;613.856689167623;578.466352941708;547.228110150363;556.30200240406;
Angola;4615.46802807906;5100.09580809767;5254.88233799616;5408.41049555432;4166.97968386501;3506.07288506966;4095.81294155857;
Albania;4437.14288515077;4247.62998374252;4413.06086120676;4578.6319939825;3952.80121524465;4124.05572595352;4531.02080555986;
Andorra;43335.3288618283;38686.4612635075;39538.7667220426;41303.9293714464;35762.523073758;37474.6654057245;38962.8803536703;
Arab World;6867.69204656405;7465.15165094558;7519.80825984063;7457.46110932925;6387.66061493825;6097.23902538074;6102.21106679858;
United Arab Emirates;39194.6766208456;40976.4997112455;42412.6302780364;43751.8388860721;38663.3838066363;38141.8467585492;40644.804043392;
Argentina;12848.8641969705;13082.664325572;13080.2547323367;12334.7982453893;13789.060424772;12790.2424732447;14591.8633810541;
Armenia;3525.80474671153;3681.8574560431;3838.18580148382;3986.23162376713;3607.29669672271;3591.82927553023;3914.5012684128;
American Samoa;10294.3022651052;11568.7930012395;11505.3937142139;11507.2323493037;11843.3311832581;11696.9555623329;10823.4448040273;
Antigua and Barbuda;12746.2050243357;13272.4413293826;12909.7441775006;13501.5809223367;14286.0931598293;15197.6174551735;15383.4151884998;
Australia;62517.8337471503;68012.1479005934;68150.1070413215;62510.7911705641;56755.7217124249;49971.131456129;54066.4712686117;
Austria;51374.9584066934;48567.69528642;50716.7087062864;51717.4959405515;44178.0473777432;45237.8050921543;47549.0790402349;
Azerbaijan;7189.69122920765;7496.29464768263;7875.75695254288;7891.31314749986;5500.31038244408;3880.73873089556;4147.08971569171;
Burundi;249.577979366801;252.358979858344;256.976002796754;274.857947913846;305.549772797441;282.193130404814;292.997630684415;
Belgium;47348.5250202016;44673.1158755901;46744.6625441516;47700.5403601178;40991.8081381432;41998.335750239;44288.5080403124;
Benin;1130.27313181143;1145.14081099947;1251.21051783537;1291.40980818577;1076.79771601166;1087.28783152256;1136.59284704681;
Burkina Faso;751.172957247699;758.000701423857;787.47017629755;792.846778432074;653.32697954543;687.670174974205;738.274158940081;
Bangladesh;861.758444349051;883.105000541313;981.839879150399;1118.8536634927;1248.45339778371;1401.62046644588;1563.91385693051;
Bulgaria;7806.34865242499;7393.1891769154;7651.8178806676;7874.26090425646;7053.60370638709;7545.79033249799;8331.0580246026;
Bahrain;22514.2379458146;23654.3513912828;24744.296958551;24989.4001204704;22688.9443998144;22619.1166718849;23709.430467983;
Bahamas, The;28006.3797183913;29485.6209294138;28768.0298936727;29445.030528852;31405.9635601781;31588.8349989813;31827.2426989661;
Bosnia and Herzegovina;5092.55194328895;4778.63608845506;5131.39450642932;5329.63504488766;4727.27754622207;4994.68314045091;5394.59122017677;
Belarus;6519.23019498892;6940.15925359735;7978.87261471076;8318.51268992675;5949.10630699748;5022.62664330491;5761.74712023007;
Belize;4423.48979672175;4505.62130177515;4568.50295763852;4705.60268956266;4775.95564827821;4818.40390879479;4887.5772083381;
Bermuda;85973.158416455;85458.455507886;85748.0654143782;;;;;
Bolivia;2346.33717022581;2609.88081915425;2908.20008548078;3081.87883446506;3035.97221489277;3076.6589493424;3351.12403975607;
Brazil;13245.6124995448;12370.0242007149;12300.3248822758;12112.5882059697;8814.00098681261;8710.09668954121;9925.38623770041;
