date,count,total_count,ratio
"2011-01-01","0","14328","0"
"2011-01-02","9","24447","0.00036814333046999634"
"2011-01-03","5","37188","0.00013445197375497472"
"2011-01-04","4","24773","0.0001614661122996811"
"2011-01-05","2","26397","7.576618555138841e-05"
"2011-01-06","4","26322","0.00015196413646379454"
"2011-01-07","2","25077","7.975435658172828e-05"
"2011-01-08","0","18609","0"
"2011-01-09","0","17598","0"
"2011-01-10","0","27243","0"
"2011-01-11","4","28201","0.00014183894188149357"
"2011-01-12","2","28531","7.00991903543514e-05"
"2011-01-13","1","28667","3.488331531028709e-05"
"2011-01-14","1","28493","3.5096339451795175e-05"
"2011-01-15","2","19244","0.00010392849719393057"
"2011-01-16","0","17221","0"
"2011-01-17","1","24683","4.0513713892152495e-05"
"2011-01-18","1","27934","3.579866828953963e-05"
"2011-01-19","0","29033","0"
"2011-01-20","2","29427","6.796479423658545e-05"
"2011-01-21","5","28752","0.00017390094602114635"
"2011-01-22","3","17851","0.00016805781188728922"
"2011-01-23","2","16675","0.0001199400299850075"
"2011-01-24","3","27846","0.00010773540185304891"
"2011-01-25","0","28344","0"
"2011-01-26","3","29120","0.00010302197802197802"
"2011-01-27","2","30055","6.65446681084678e-05"
"2011-01-28","5","28275","0.00017683465959328028"
"2011-01-29","2","17806","0.00011232168931820734"
"2011-01-30","8","17395","0.00045990227076746193"
"2011-01-31","2","27917","7.164093563061934e-05"
"2011-02-01","4","29502","0.00013558402820147786"
"2011-02-02","12","30300","0.00039603960396039607"
"2011-02-03","8","22552","0.000354735721887194"
"2011-02-04","1","26709","3.744056310606911e-05"
"2011-02-05","2","16599","0.00012048918609554793"
"2011-02-06","5","17993","0.0002778858444950814"
"2011-02-07","1","26135","3.826286588865506e-05"
"2011-02-08","1","27940","3.579098067287044e-05"
"2011-02-09","5","29128","0.00017165613842351002"
"2011-02-10","3","28589","0.00010493546468921613"
"2011-02-11","10","28567","0.00035005425841005353"
"2011-02-12","6","17789","0.0003372870875259992"
"2011-02-13","2","17693","0.00011303905499350026"
"2011-02-14","1","28632","3.492595697122101e-05"
"2011-02-15","3","29224","0.00010265535176567205"
"2011-02-16","1","29019","3.4460181260553434e-05"
"2011-02-17","1","28590","3.497726477789437e-05"
"2011-02-18","2","27727","7.213185703465936e-05"
"2011-02-19","4","17789","0.00022485805835066613"
"2011-02-20","9","16698","0.0005389867049946101"
"2011-02-21","4","25317","0.00015799660307303393"
"2011-02-22","0","26348","0"
"2011-02-23","3","25518","0.00011756407241946862"
"2011-02-24","2","28688","6.971556051310653e-05"
"2011-02-25","2","27370","7.307270734380708e-05"
"2011-02-26","2","18295","0.00010931948619841486"
"2011-02-27","1","17420","5.74052812858783e-05"
"2011-02-28","7","28123","0.00024890658891298936"
"2011-03-01","10","29398","0.00034015919450302743"
"2011-03-02","9","29264","0.00030754510661563694"
"2011-03-03","5","29309","0.0001705960626428742"
"2011-03-04","2","28014","7.139287499107589e-05"
"2011-03-05","0","19785","0"
"2011-03-06","0","16853","0"
"2011-03-07","2","23627","8.464891861006476e-05"
"2011-03-08","8","26100","0.0003065134099616858"
"2011-03-09","4","28238","0.0001416530915787237"
"2011-03-10","9","29137","0.000308885609362666"
"2011-03-11","8","28229","0.00028339650713804954"
"2011-03-12","3","18976","0.00015809443507588532"
"2011-03-13","3","17710","0.0001693958215697346"
"2011-03-14","4","28037","0.00014266861647109177"
"2011-03-15","0","29778","0"
"2011-03-16","1","28823","3.469451479721056e-05"
"2011-03-17","4","31044","0.00012884937508053087"
"2011-03-18","4","28071","0.0001424958141854583"
"2011-03-19","1","18590","5.379236148466918e-05"
"2011-03-20","1","17806","5.616084465910367e-05"
"2011-03-21","4","28302","0.00014133276800226132"
"2011-03-22","3","28445","0.00010546669010370892"
"2011-03-23","4","29083","0.00013753739297871608"
"2011-03-24","2","28910","6.918021445866483e-05"
"2011-03-25","5","28149","0.00017762620341752817"
"2011-03-26","2","17513","0.00011420087934677097"
"2011-03-27","2","16660","0.00012004801920768308"
"2011-03-28","3","28263","0.00010614584439019212"
"2011-03-29","1","28136","3.554165481944839e-05"
"2011-03-30","2","27113","7.376535241397116e-05"
"2011-03-31","6","28761","0.00020861583394179617"
"2011-04-01","4","27985","0.00014293371448990532"
"2011-04-02","4","18111","0.0002208602506763845"
"2011-04-03","2","16622","0.0001203224642040669"
"2011-04-04","8","26007","0.0003076094897527589"
"2011-04-05","1","27972","3.575003575003575e-05"
"2011-04-06","4","27280","0.0001466275659824047"
"2011-04-07","3","22036","0.0001361408604102378"
"2011-04-08","7","28638","0.00024443047698861654"
"2011-04-09","2","16972","0.00011784115012962527"
"2011-04-10","2","15993","0.00012505471143625337"
"2011-04-11","1","28840","3.467406380027739e-05"
"2011-04-12","2","28410","7.039774727208729e-05"
"2011-04-13","0","28344","0"
"2011-04-14","1","27364","3.654436485893875e-05"
"2011-04-15","1","29511","3.388566975026261e-05"
"2011-04-16","1","17573","5.690547999772378e-05"
"2011-04-17","0","16294","0"
"2011-04-18","1","27507","3.635438252081288e-05"
"2011-04-19","3","27797","0.00010792531568154837"
"2011-04-20","8","28586","0.00027985727279087664"
"2011-04-21","5","28741","0.0001739675028704638"
"2011-04-22","2","25990","7.695267410542516e-05"
"2011-04-23","0","16236","0"
"2011-04-24","2","15317","0.00013057387216817913"
"2011-04-25","4","28817","0.00013880695422840685"
"2011-04-26","4","28225","0.000141718334809566"
"2011-04-27","2","28524","7.011639321273313e-05"
"2011-04-28","5","28859","0.00017325617658269519"
"2011-04-29","2","26888","7.438262421898245e-05"
"2011-04-30","3","16791","0.00017866714311238162"
"2011-05-01","2","16360","0.00012224938875305622"
"2011-05-02","0","25783","0"
"2011-05-03","0","27261","0"
"2011-05-04","0","27962","0"
"2011-05-05","6","28555","0.00021012081947119593"
"2011-05-06","0","27211","0"
"2011-05-07","2","16652","0.00012010569300984866"
"2011-05-08","1","15214","6.572893387669252e-05"
"2011-05-09","0","25384","0"
"2011-05-10","3","29716","0.00010095571409341768"
"2011-05-11","0","28272","0"
"2011-05-12","3","28724","0.00010444227823422922"
"2011-05-13","4","27041","0.0001479235235383307"
"2011-05-14","2","15648","0.0001278118609406953"
"2011-05-15","4","16861","0.00023723385327086176"
"2011-05-16","0","26875","0"
"2011-05-17","0","27620","0"
"2011-05-18","2","38099","5.249481613690648e-05"
"2011-05-19","4","28382","0.00014093439503910928"
"2011-05-20","4","26996","0.0001481700992739665"
"2011-05-21","1","15922","6.280618012812461e-05"
"2011-05-22","1","15547","6.432109088570143e-05"
"2011-05-23","27","26392","0.0010230372840254623"
"2011-05-24","3","27232","0.00011016451233842539"
"2011-05-25","9","27598","0.0003261105877237481"
"2011-05-26","2","28262","7.076640011322624e-05"
"2011-05-27","3","25653","0.0001169453865045024"
"2011-05-28","1","16449","6.079396923825157e-05"
"2011-05-29","5","15011","0.0003330890680167877"
"2011-05-30","0","19830","0"
"2011-05-31","3","25515","0.00011757789535567314"
"2011-06-01","8","27815","0.0002876145964407694"
"2011-06-02","3","27916","0.00010746525290156182"
"2011-06-03","5","27434","0.00018225559524677408"
"2011-06-04","3","15798","0.00018989745537409798"
"2011-06-05","14","15323","0.0009136592051164915"
"2011-06-06","3","26707","0.00011233010072265698"
"2011-06-07","0","27762","0"
"2011-06-08","8","27711","0.00028869402042510197"
"2011-06-09","12","27360","0.0004385964912280702"
"2011-06-10","2","27237","7.342952601240959e-05"
"2011-06-11","4","15641","0.00025573812416085926"
"2011-06-12","4","15118","0.00026458526260087314"
"2011-06-13","6","24204","0.00024789291026276647"
"2011-06-14","4","18102","0.00022097005855706552"
"2011-06-15","9","21897","0.0004110152075626798"
"2011-06-16","9","28590","0.0003147953830010493"
"2011-06-17","3","26160","0.00011467889908256881"
"2011-06-18","2","15554","0.00012858428700012858"
"2011-06-19","5","15494","0.00032270556344391377"
"2011-06-20","6","25594","0.00023442994451824647"
"2011-06-21","2","26859","7.446293607356939e-05"
"2011-06-22","8","28095","0.00028474817583199857"
"2011-06-23","5","27185","0.0001839249586168843"
"2011-06-24","4","26210","0.00015261350629530712"
"2011-06-25","0","15601","0"
"2011-06-26","1","15144","6.603275224511358e-05"
"2011-06-27","4","25820","0.00015491866769945777"
"2011-06-28","1","26208","3.8156288156288156e-05"
"2011-06-29","2","26748","7.477194556602363e-05"
"2011-06-30","1","27099","3.690173069116941e-05"
"2011-07-01","5","26285","0.00019022256039566293"
"2011-07-02","5","14735","0.00033932813030200206"
"2011-07-03","1","14242","7.021485746383936e-05"
"2011-07-04","5","19007","0.0002630609775345925"
"2011-07-05","2","24035","8.321198252548368e-05"
"2011-07-06","1","26046","3.839361130307917e-05"
"2011-07-07","3","25793","0.00011631062691427906"
"2011-07-08","3","25296","0.00011859582542694497"
"2011-07-09","2","14980","0.0001335113484646195"
"2011-07-10","4","14397","0.0002778356602069876"
"2011-07-11","6","24971","0.0002402787233190501"
"2011-07-12","1","25853","3.868023053417398e-05"
"2011-07-13","1","26573","3.763218304293832e-05"
"2011-07-14","3","26855","0.00011171104077452989"
"2011-07-15","2","25681","7.78785872824267e-05"
"2011-07-16","1","14645","6.828269033799931e-05"
"2011-07-17","4","12098","0.00033063316250619935"
"2011-07-18","0","20760","0"
"2011-07-19","5","26743","0.0001869648132221516"
"2011-07-20","8","26629","0.00030042434939351833"
"2011-07-21","0","25878","0"
"2011-07-22","1","24881","4.019131063863993e-05"
"2011-07-23","2","14974","0.00013356484573260317"
"2011-07-24","2","14386","0.00013902405116085083"
"2011-07-25","0","22118","0"
"2011-07-26","0","24491","0"
"2011-07-27","4","23566","0.00016973606042603752"
"2011-07-28","1","23881","4.187429337129936e-05"
"2011-07-29","0","25455","0"
"2011-07-30","0","14532","0"
"2011-07-31","20","14345","0.0013942140118508191"
"2011-08-01","17","25418","0.000668817373514832"
"2011-08-02","6","25191","0.00023818030248898416"
"2011-08-03","2","25662","7.793624814901411e-05"
"2011-08-04","1","25675","3.8948393378773126e-05"
"2011-08-05","3","25287","0.00011863803535413454"
"2011-08-06","0","15182","0"
"2011-08-07","1","14550","6.872852233676975e-05"
"2011-08-08","6","24692","0.00024299368216426374"
"2011-08-09","5","25169","0.00019865707815169454"
"2011-08-10","2","24916","8.026970621287526e-05"
"2011-08-11","5","25762","0.00019408431022436147"
"2011-08-12","6","24227","0.0002476575721302679"
"2011-08-13","2","14520","0.0001377410468319559"
"2011-08-14","2","13676","0.00014624159110851126"
"2011-08-15","2","26047","7.67842745805659e-05"
"2011-08-16","6","25595","0.0002344207853096308"
"2011-08-17","1","25823","3.872516748634938e-05"
"2011-08-18","6","24777","0.000242160067804819"
"2011-08-19","4","24576","0.00016276041666666666"
"2011-08-20","2","14248","0.00014037057832678272"
"2011-08-21","1","13756","7.269555103227682e-05"
"2011-08-22","1","24183","4.135136252739528e-05"
"2011-08-23","5","24126","0.00020724529553179142"
"2011-08-24","2","24374","8.205464839583163e-05"
"2011-08-25","5","24936","0.0002005133140840552"
"2011-08-26","1","23421","4.269672516118014e-05"
"2011-08-27","2","14169","0.00014115322182228809"
